V1,V2,V3,V4,V5,species,Sample1,Sample2
Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,99.7377,615,716,Corynebacterium amycolatum,Met5704,Met5660
Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,99.6638,628,716,Corynebacterium amycolatum,Met5704,Met8580
Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,99.5704,623,716,Corynebacterium amycolatum,Met5704,Met8673
Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,99.1477,688,716,Corynebacterium amycolatum,Met5704,Met5763
Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,97.158,632,716,Corynebacterium amycolatum,Met5704,Met8688
Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,97.057,615,716,Corynebacterium amycolatum,Met5704,Met5714
Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,99.2572,686,745,Corynebacterium amycolatum,Met5714,Met8688
Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,97.0666,641,745,Corynebacterium amycolatum,Met5714,Met8580
Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,97.0273,610,745,Corynebacterium amycolatum,Met5714,Met5704
Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,97.0261,684,745,Corynebacterium amycolatum,Met5714,Met5763
Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,96.95,638,745,Corynebacterium amycolatum,Met5714,Met8673
Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,96.9323,691,745,Corynebacterium amycolatum,Met5714,Met8721
Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,96.913,668,745,Corynebacterium amycolatum,Met5714,Met5782
Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,96.8934,691,745,Corynebacterium amycolatum,Met5714,Met8611
Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,96.8809,624,745,Corynebacterium amycolatum,Met5714,Met5660
Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,99.1836,691,825,Corynebacterium amycolatum,Met5763,Met8580
Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,99.1092,683,825,Corynebacterium amycolatum,Met5763,Met5704
Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,99.1088,672,825,Corynebacterium amycolatum,Met5763,Met5660
Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,99.0868,749,825,Corynebacterium amycolatum,Met5763,Met5782
Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,99.0639,734,825,Corynebacterium amycolatum,Met5763,Met8721
Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,99.0381,762,825,Corynebacterium amycolatum,Met5763,Met8611
Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,99.0063,690,825,Corynebacterium amycolatum,Met5763,Met8673
Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,96.91,694,825,Corynebacterium amycolatum,Met5763,Met5714
Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,96.8383,719,825,Corynebacterium amycolatum,Met5763,Met8688
Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,99.9561,725,775,Corynebacterium amycolatum,Met5782,Met8721
Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,99.954,751,775,Corynebacterium amycolatum,Met5782,Met8611
Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,99.9295,670,775,Corynebacterium amycolatum,Met5782,Met5660
Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,99.8774,677,775,Corynebacterium amycolatum,Met5782,Met8673
Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,99.8401,677,775,Corynebacterium amycolatum,Met5782,Met8580
Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,99.8312,684,775,Corynebacterium amycolatum,Met5782,Met5704
Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,99.0999,744,775,Corynebacterium amycolatum,Met5782,Met5763
Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,97.0657,687,775,Corynebacterium amycolatum,Met5782,Met8688
Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,96.9359,672,775,Corynebacterium amycolatum,Met5782,Met5714
Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,99.9164,712,729,Corynebacterium amycolatum,Met8580,Met8611
Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,99.8784,706,729,Corynebacterium amycolatum,Met8580,Met8721
Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,99.8491,691,729,Corynebacterium amycolatum,Met8580,Met5782
Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,99.846,643,729,Corynebacterium amycolatum,Met8580,Met5660
Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,99.8383,669,729,Corynebacterium amycolatum,Met8580,Met8673
Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,99.7107,640,729,Corynebacterium amycolatum,Met8580,Met5704
Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,99.2133,704,729,Corynebacterium amycolatum,Met8580,Met5763
Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,97.1472,674,729,Corynebacterium amycolatum,Met8580,Met8688
Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,97.1001,655,729,Corynebacterium amycolatum,Met8580,Met5714
Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,99.9427,752,802,Corynebacterium amycolatum,Met8611,Met5782
Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,99.911,682,802,Corynebacterium amycolatum,Met8611,Met5660
Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,99.9099,756,802,Corynebacterium amycolatum,Met8611,Met8721
Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,99.8525,696,802,Corynebacterium amycolatum,Met8611,Met8673
Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,99.8097,692,802,Corynebacterium amycolatum,Met8611,Met8580
Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,99.8065,683,802,Corynebacterium amycolatum,Met8611,Met5704
Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,98.9799,771,802,Corynebacterium amycolatum,Met8611,Met5763
Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,97.0278,706,802,Corynebacterium amycolatum,Met8611,Met8688
Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,96.8676,702,802,Corynebacterium amycolatum,Met8611,Met5714
Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,99.9312,705,722,Corynebacterium amycolatum,Met8673,Met8611
Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,99.8905,645,722,Corynebacterium amycolatum,Met8673,Met5660
Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,99.8811,698,722,Corynebacterium amycolatum,Met8673,Met8721
Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,99.8768,688,722,Corynebacterium amycolatum,Met8673,Met5782
Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,99.8287,664,722,Corynebacterium amycolatum,Met8673,Met8580
Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,99.6739,631,722,Corynebacterium amycolatum,Met8673,Met5704
Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,99.09,698,722,Corynebacterium amycolatum,Met8673,Met5763
Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,97.0998,659,722,Corynebacterium amycolatum,Met8673,Met8688
Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,97.0105,651,722,Corynebacterium amycolatum,Met8673,Met5714
Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,99.3344,694,777,Corynebacterium amycolatum,Met8688,Met5714
Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,97.1405,631,777,Corynebacterium amycolatum,Met8688,Met5704
Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,97.1025,706,777,Corynebacterium amycolatum,Met8688,Met8611
Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,97.0836,662,777,Corynebacterium amycolatum,Met8688,Met8580
Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,97.0529,690,777,Corynebacterium amycolatum,Met8688,Met5782
Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,97.0164,712,777,Corynebacterium amycolatum,Met8688,Met5763
Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,97.0129,700,777,Corynebacterium amycolatum,Met8688,Met8721
Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,97.0082,656,777,Corynebacterium amycolatum,Met8688,Met8673
Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,96.9453,646,777,Corynebacterium amycolatum,Met8688,Met5660
Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,Met5782_refinement_out_metawrap_50_10_bins_bin.3.fa,99.9705,730,837,Corynebacterium amycolatum,Met8721,Met5782
Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,Met8611_megahit_refinement_out_metawrap_50_10_bins_bin.3.fa,99.9254,765,837,Corynebacterium amycolatum,Met8721,Met8611
Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,Met5660_refinement_out_metawrap_50_10_bins_bin.9.fa,99.902,669,837,Corynebacterium amycolatum,Met8721,Met5660
Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,Met8580_spades_refinement_out_metawrap_50_10_bins_bin.4.fa,99.8665,684,837,Corynebacterium amycolatum,Met8721,Met8580
Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,Met5704_refinement_out_metawrap_50_10_bins_bin.16.fa,99.8164,656,837,Corynebacterium amycolatum,Met8721,Met5704
Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,Met8673_megahit_refinement_out_metawrap_50_10_bins_bin.7.fa,99.8004,691,837,Corynebacterium amycolatum,Met8721,Met8673
Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,Met5763_refinement_out_metawrap_50_10_bins_bin.5.fa,99.005,739,837,Corynebacterium amycolatum,Met8721,Met5763
Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,Met8688_spades_refinement_out_metawrap_50_10_bins_bin.10.fa,96.9741,686,837,Corynebacterium amycolatum,Met8721,Met8688
Met8721_Megahit_refinement_outMetawrap_50_10_bins_bin.7.fa,Met5714_refinement_out_metawrap_50_10_bins_bin.9.fa,96.9358,697,837,Corynebacterium amycolatum,Met8721,Met5714
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met5799_refinement_out_metawrap_50_10_bins_bin.33.fa,99.9926,1384,1405,Parabacteroides distasonis,Met4861,Met5799
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met8699_Megahit_refinement_outMetawrap_50_10_bins_bin.9.fa,99.9738,1375,1405,Parabacteroides distasonis,Met4861,Met8699
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met8635_megahit_refinement_out_metawrap_50_10_bins_bin.18.fa,98.9054,1293,1405,Parabacteroides distasonis,Met4861,Met8635
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,98.664,1286,1405,Parabacteroides distasonis,Met4861,Met5732
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met8625_megahit_refinement_out_metawrap_50_10_bins_bin.10.fa,98.6183,1293,1405,Parabacteroides distasonis,Met4861,Met8625
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met8705_spades_refinement_out_metawrap_50_10_bins_bin.18.fa,98.5944,1268,1405,Parabacteroides distasonis,Met4861,Met8705
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met7514_refinement_out_metawrap_50_10_bins_bin.19.fa,98.546,1277,1405,Parabacteroides distasonis,Met4861,Met7514
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met5766_refinement_out_metawrap_50_10_bins_bin.2.fa,98.4359,1263,1405,Parabacteroides distasonis,Met4861,Met5766
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met7499_refinement_outMetawrap_50_10_bins_bin.17.fa,98.384,1145,1405,Parabacteroides distasonis,Met4861,Met7499
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met5759_refinement_out_metawrap_50_10_bins_bin.2.fa,98.1211,1028,1405,Parabacteroides distasonis,Met4861,Met5759
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met8720_Megahit_refinement_outMetawrap_50_10_bins_bin.1.fa,98.1021,846,1405,Parabacteroides distasonis,Met4861,Met8720
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met5809_refinement_out_metawrap_50_10_bins_bin.20.fa,97.6841,1135,1405,Parabacteroides distasonis,Met4861,Met5809
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,97.6436,1235,1405,Parabacteroides distasonis,Met4861,Met5715
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met8571_megahit_refinement_out_metawrap_50_10_bins_bin.21.fa,97.4688,1222,1405,Parabacteroides distasonis,Met4861,Met8571
Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,Met8725_Megahit_refinement_outMetawrap_50_10_bins_bin.11.fa,97.393,1233,1405,Parabacteroides distasonis,Met4861,Met8725
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met5809_refinement_out_metawrap_50_10_bins_bin.20.fa,99.0816,1286,1531,Parabacteroides distasonis,Met5715,Met5809
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met8571_megahit_refinement_out_metawrap_50_10_bins_bin.21.fa,98.576,1356,1531,Parabacteroides distasonis,Met5715,Met8571
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met8725_Megahit_refinement_outMetawrap_50_10_bins_bin.11.fa,98.4156,1364,1531,Parabacteroides distasonis,Met5715,Met8725
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met7499_refinement_outMetawrap_50_10_bins_bin.17.fa,97.9807,1170,1531,Parabacteroides distasonis,Met5715,Met7499
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met5759_refinement_out_metawrap_50_10_bins_bin.2.fa,97.6763,1050,1531,Parabacteroides distasonis,Met5715,Met5759
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met8720_Megahit_refinement_outMetawrap_50_10_bins_bin.1.fa,97.6686,859,1531,Parabacteroides distasonis,Met5715,Met8720
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met5766_refinement_out_metawrap_50_10_bins_bin.2.fa,97.6449,1246,1531,Parabacteroides distasonis,Met5715,Met5766
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met8699_Megahit_refinement_outMetawrap_50_10_bins_bin.9.fa,97.5889,1259,1531,Parabacteroides distasonis,Met5715,Met8699
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met8705_spades_refinement_out_metawrap_50_10_bins_bin.18.fa,97.54,1245,1531,Parabacteroides distasonis,Met5715,Met8705
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,97.5277,1239,1531,Parabacteroides distasonis,Met5715,Met4861
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met5799_refinement_out_metawrap_50_10_bins_bin.33.fa,97.4931,1263,1531,Parabacteroides distasonis,Met5715,Met5799
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met8635_megahit_refinement_out_metawrap_50_10_bins_bin.18.fa,97.473,1263,1531,Parabacteroides distasonis,Met5715,Met8635
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,97.4004,1270,1531,Parabacteroides distasonis,Met5715,Met5732
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met8625_megahit_refinement_out_metawrap_50_10_bins_bin.10.fa,97.3834,1291,1531,Parabacteroides distasonis,Met5715,Met8625
Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,Met7514_refinement_out_metawrap_50_10_bins_bin.19.fa,97.3833,1251,1531,Parabacteroides distasonis,Met5715,Met7514
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met7514_refinement_out_metawrap_50_10_bins_bin.19.fa,99.853,1454,1598,Parabacteroides distasonis,Met5732,Met7514
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met8625_megahit_refinement_out_metawrap_50_10_bins_bin.10.fa,99.8505,1531,1598,Parabacteroides distasonis,Met5732,Met8625
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met8705_spades_refinement_out_metawrap_50_10_bins_bin.18.fa,99.7454,1444,1598,Parabacteroides distasonis,Met5732,Met8705
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met5766_refinement_out_metawrap_50_10_bins_bin.2.fa,98.8447,1330,1598,Parabacteroides distasonis,Met5732,Met5766
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met8699_Megahit_refinement_outMetawrap_50_10_bins_bin.9.fa,98.5481,1323,1598,Parabacteroides distasonis,Met5732,Met8699
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met8635_megahit_refinement_out_metawrap_50_10_bins_bin.18.fa,98.5311,1339,1598,Parabacteroides distasonis,Met5732,Met8635
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met5799_refinement_out_metawrap_50_10_bins_bin.33.fa,98.4886,1327,1598,Parabacteroides distasonis,Met5732,Met5799
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met4861_bins_refined_metawrap_50_10_bins_bin.9.spades.fa,98.4571,1287,1598,Parabacteroides distasonis,Met5732,Met4861
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met7499_refinement_outMetawrap_50_10_bins_bin.17.fa,98.4403,1205,1598,Parabacteroides distasonis,Met5732,Met7499
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met5759_refinement_out_metawrap_50_10_bins_bin.2.fa,98.3882,1064,1598,Parabacteroides distasonis,Met5732,Met5759
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met8720_Megahit_refinement_outMetawrap_50_10_bins_bin.1.fa,98.153,876,1598,Parabacteroides distasonis,Met5732,Met8720
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met5809_refinement_out_metawrap_50_10_bins_bin.20.fa,97.6467,1166,1598,Parabacteroides distasonis,Met5732,Met5809
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met5715_refinement_out_metawrap_50_10_bins_bin.8.fa,97.4327,1282,1598,Parabacteroides distasonis,Met5732,Met5715
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met8571_megahit_refinement_out_metawrap_50_10_bins_bin.21.fa,97.4119,1245,1598,Parabacteroides distasonis,Met5732,Met8571
Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,Met8725_Megahit_refinement_outMetawrap_50_10_bins_bin.11.fa,97.3901,1328,1598,Parabacteroides distasonis,Met5732,Met8725
Met5759_refinement_out_metawrap_50_10_bins_bin.2.fa,Met8720_Megahit_refinement_outMetawrap_50_10_bins_bin.1.fa,98.5734,788,1222,Parabacteroides distasonis,Met5759,Met8720
Met5759_refinement_out_metawrap_50_10_bins_bin.2.fa,Met5732_refinement_out_metawrap_50_10_bins_bin.6.fa,98.3898,1086,1222,Parabacteroides distasonis,Met5759,Met5732
Met5759_refinement_out_metawrap_50_10_bins_bin.2.fa,Met8625_megahit_refinement_out_metawrap_50_10_bins_bin.10.fa,98.3537,1090,1222,Parabacteroides distasonis,Met5759,Met8625
Met5759_refinement_out_metawrap_50_10_bins_bin.2.fa,Met8705_spades_refinement_out_metawrap_50_10_bins_bin.18.fa,98.3504,1077,1222,Parabacteroides distasonis,Met5759,Met8705
Met5759_refinement_out_metawrap_50_10_bins_bin.2.fa,Met7514_refinement_out_metawrap_50_10_bins_bin.19.fa,98.2924,1075,1222,Parabacteroides distasonis,Met5759,Met7514
Met5759_refinement_out_metawrap_50_10_bins_bin.2.fa,Met5799_refinement_out_metawrap_50_10_bins_bin.33.fa,98.2424,1061,1222,Parabacteroides distasonis,Met5759,Met5799
Met5759_refinement_out_metawrap_50_10_bins_bin.2.fa,Met8699_Megahit_refinement_outMetawrap_50_10_bins_bin.9.fa,98.2098,1063,1222,Parabacteroides distasonis,Met5759,Met8699
